BUYERS
Name,Last_close,Target 1,Stop Loss 1,Target 2,Stop Loss 2,Target 3,Stop Loss 3,Expected Open,Expected High,Expected Low,Expected Close
NGCT,2.25,2.295,2.18902,2.32875,2.25,2.3625,2.295,2.33633,2.66272,2.18902,2.63595
HERCULES,183.45,187.119,183.343,189.871,183.45,192.622,188.036,184.551,206.718,183.364,201.477
BROOKS,40.15,40.953,39.537,41.5552,40.15,42.1575,40.953,40.3748,45.2383,39.537,43.4129
TATAMETALI,121.7,124.134,121.7,125.96,122.917,127.785,125.351,123.225,136.718,121.992,134.462
ATLASCYCLE,304.45,310.539,300.939,315.106,304.45,319.672,310.539,301.943,335.362,300.939,323.509
SANGAMIND,84.0,85.7871,82.348,86.8594,83.587,87.5742,84.413,84.0532,91.1484,82.348,88.41
INDOCO,195.05,199.118,195.05,201.559,197.001,203.187,197.488,199.283,211.324,197.001,208.014
AHLUCONT,146.7,149.612,143.14,151.359,145.81,152.524,147.59,146.759,158.348,143.14,154.113
IFBIND,157.7,160.54,157.516,162.244,157.7,163.38,157.729,159.261,169.06,157.553,163.929
SHARONBIO,67.9,68.9389,67.3313,69.5622,67.9,69.9777,67.991,67.8887,72.0555,67.4451,70.4553
LIBERTSHOE,338.85,343.992,336.252,347.077,338.85,349.134,339.266,340.906,359.418,336.772,349.908
UFLEX,136.1,137.977,136.1,139.103,136.667,139.854,136.809,137.552,143.608,136.667,140.451
WSTCSTPAPR,63.65,64.4732,62.7377,64.9671,63.4219,65.2964,63.8781,63.5715,66.9428,62.7377,65.7483
DEEPIND,79.8,80.8307,78.5578,81.4492,79.4894,81.8615,80.1106,80.2948,83.923,78.5578,80.8081
TATASPONGE,857.6,867.813,836.989,873.94,852.447,878.025,862.753,852.426,898.45,836.989,876.667
""
""
""
SELLERS
Name,Last_close,Target 1,Stop Loss 1,Target 2,Stop Loss 2,Target 3,Stop Loss 3,Expected Open,Expected High,Expected Low,Expected Close
NAKODA,5.1,4.998,5.24756,4.9215,5.1,4.845,4.998,5.15746,5.24756,4.54954,4.65681
ATNINTER,0.55,0.539385,0.55,0.533016,0.5555,0.52877,0.556875,0.50754,0.5445,0.50754,0.50754
PRADIP,3.9,3.83529,4.05314,3.79647,3.93829,3.77058,3.86172,4.00478,4.05314,3.64117,3.72151
CHROMATIC,4.0,3.93717,4.18853,3.89947,4.04713,3.87433,3.95287,4.13973,4.18853,3.74867,3.87493
DQE,26.9,26.5299,27.8047,26.3078,27.1262,26.1598,26.6738,27.3143,27.8047,25.4196,26.4185
GOENKA,3.35,3.30868,3.48199,3.28389,3.383,3.26737,3.317,3.4486,3.48199,3.18473,3.31762
KAUSHALYA,10.55,10.4219,10.6797,10.345,10.55,10.2938,10.5293,10.2961,10.6537,10.0376,10.0376
REIAGROLTD,3.8,3.75725,3.86093,3.7316,3.81523,3.7145,3.78477,3.78252,3.86093,3.629,3.70627
PRATIBHA,58.1,57.4498,59.8043,57.0596,58.5261,56.7995,57.6739,58.5571,59.8043,55.4991,56.9341
WINSOMEDJ,2.3,2.27696,2.3,2.26314,2.31595,2.25392,2.31993,2.25454,2.28405,2.20785,2.20785
GOKUL,18.55,18.3701,18.9896,18.2621,18.6599,18.1901,18.4401,18.9896,18.9896,17.8303,18.354
JINDCOT,18.95,18.7763,19.6164,18.6721,19.1166,18.6026,18.7834,19.0928,19.6164,18.2552,18.4927
MIRCELECTR,6.65,6.59059,6.7799,6.55495,6.68247,6.53119,6.61753,6.60212,6.7799,6.41237,6.50702
GENUSPOWER,24.9,24.6782,25.2096,24.5451,24.9774,24.4564,24.8226,24.7232,25.2096,24.0127,24.4825
BINANIIND,123.9,122.824,126.06,122.179,124.44,121.748,123.36,124.412,126.06,119.597,120.811
